federal_account_code,object_class_code,fiscal_period,obligated_amt,outlay_amt,unliquidated_balance_amt
099-0001,25.0,5,908.0,806.0,102.0
099-0002,95.0,5,894.0,735.0,159.0
099-0002,31.0,5,734.0,582.0,152.0
099-0002,11.1,5,597.0,465.0,132.0
099-0002,13.1,5,427.0,319.0,108.0
099-0003,25.0,5,1385.0,1053.0,332.0
099-0003,31.0,5,1631.0,1385.0,246.0
099-0003,33.0,5,1838.0,1488.0,350.0
099-0003,12.1,5,1103.0,898.0,205.0
099-0004,13.1,5,1430.0,1251.0,179.0
099-0004,31.0,5,1985.0,1297.0,688.0
099-0004,11.2,5,294.0,258.0,36.0
099-0004,95.0,5,1859.0,1576.0,283.0
099-0001,11.2,6,1802.0,1267.0,535.0
099-0001,13.1,6,153.0,106.0,47.0
099-0001,31.0,6,841.0,587.0,254.0
099-0001,33.0,6,661.0,440.0,221.0
099-0002,13.1,6,504.0,419.0,85.0
099-0002,95.0,6,1718.0,1505.0,213.0
099-0002,33.0,6,1959.0,1775.0,184.0
099-0002,31.0,6,644.0,597.0,47.0
099-0003,95.0,6,333.0,249.0,84.0
099-0003,11.1,6,594.0,383.0,211.0
099-0003,25.0,6,1252.0,1151.0,101.0
099-0003,31.0,6,1281.0,1121.0,160.0
099-0004,12.1,6,435.0,329.0,106.0
099-0004,95.0,6,127.0,90.0,37.0
099-0004,13.1,6,467.0,290.0,177.0
099-0004,11.2,6,897.0,595.0,302.0
099-0001,12.1,7,1243.0,1139.0,104.0
099-0001,95.0,7,474.0,370.0,104.0
099-0001,25.0,7,1457.0,960.0,497.0
099-0001,33.0,7,1798.0,1445.0,353.0
099-0002,95.0,7,1694.0,1559.0,135.0
099-0002,11.2,7,1792.0,1135.0,657.0
099-0002,11.1,7,316.0,269.0,47.0
099-0002,25.0,7,487.0,404.0,83.0
099-0003,33.0,7,1405.0,1059.0,346.0
099-0003,95.0,7,1640.0,1076.0,564.0
099-0003,31.0,7,762.0,564.0,198.0
099-0003,12.1,7,1056.0,958.0,98.0
099-0004,11.2,7,1481.0,1123.0,358.0
099-0004,33.0,7,478.0,359.0,119.0
099-0004,12.1,7,1395.0,841.0,554.0
099-0004,11.1,7,1068.0,650.0,418.0
099-0001,31.0,8,747.0,601.0,146.0
099-0001,12.1,8,1682.0,1541.0,141.0
099-0001,95.0,8,1103.0,907.0,196.0
099-0001,25.0,8,84.0,62.0,22.0
099-0002,11.2,8,670.0,410.0,260.0
099-0002,33.0,8,1793.0,1606.0,187.0
099-0002,13.1,8,316.0,289.0,27.0
099-0002,12.1,8,569.0,411.0,158.0
099-0003,33.0,8,1452.0,1322.0,130.0
099-0003,95.0,8,1150.0,1053.0,97.0
099-0003,31.0,8,405.0,289.0,116.0
099-0003,11.2,8,187.0,159.0,28.0
099-0004,95.0,8,1111.0,768.0,343.0
099-0004,11.1,8,1256.0,796.0,460.0
099-0004,13.1,8,1420.0,1255.0,165.0
099-0004,12.1,8,1373.0,844.0,529.0
099-0001,11.1,9,1111.0,909.0,202.0
099-0001,33.0,9,1323.0,903.0,420.0
099-0001,95.0,9,124.0,90.0,34.0
099-0001,12.1,9,693.0,441.0,252.0
099-0002,12.1,9,1180.0,880.0,300.0
099-0002,95.0,9,233.0,196.0,37.0
099-0002,33.0,9,1351.0,1060.0,291.0
099-0002,31.0,9,996.0,923.0,73.0
099-0003,11.2,9,659.0,615.0,44.0
099-0003,95.0,9,760.0,481.0,279.0
099-0003,25.0,9,308.0,249.0,59.0
099-0003,11.1,9,1131.0,839.0,292.0
099-0004,12.1,9,111.0,69.0,42.0
099-0004,31.0,9,1846.0,1489.0,357.0
099-0004,25.0,9,1649.0,1168.0,481.0
099-0004,13.1,9,846.0,781.0,65.0
099-0001,11.2,10,1173.0,1108.0,65.0
099-0001,95.0,10,1698.0,1248.0,450.0
099-0001,12.1,10,335.0,226.0,109.0
099-0001,13.1,10,1464.0,1151.0,313.0
099-0002,13.1,10,1640.0,1326.0,314.0
099-0002,11.2,10,861.0,808.0,53.0
099-0002,31.0,10,798.0,594.0,204.0
099-0002,95.0,10,1840.0,1227.0,613.0
099-0003,11.2,10,516.0,465.0,51.0
099-0003,12.1,10,1847.0,1472.0,375.0
099-0003,13.1,10,173.0,159.0,14.0
099-0003,11.1,10,691.0,631.0,60.0
099-0004,25.0,10,353.0,234.0,119.0
099-0004,31.0,10,1450.0,1085.0,365.0
099-0004,11.1,10,1543.0,1252.0,291.0
099-0004,95.0,10,1975.0,1452.0,523.0
099-0001,11.2,11,157.0,117.0,40.0
099-0001,95.0,11,1648.0,1460.0,188.0
099-0001,33.0,11,1548.0,1286.0,262.0
099-0001,11.1,11,854.0,612.0,242.0
099-0002,95.0,11,1650.0,1496.0,154.0
099-0002,11.1,11,77.0,50.0,27.0
099-0002,11.2,11,1196.0,820.0,376.0
099-0002,33.0,11,1949.0,1796.0,153.0
099-0003,11.2,11,780.0,649.0,131.0
099-0003,95.0,11,266.0,229.0,37.0
099-0003,12.1,11,903.0,578.0,325.0
099-0003,13.1,11,1198.0,997.0,201.0
099-0004,31.0,11,941.0,843.0,98.0
099-0004,12.1,11,1263.0,886.0,377.0
099-0004,13.1,11,1090.0,686.0,404.0
099-0004,33.0,11,1579.0,1037.0,542.0
099-0001,31.0,12,1310.0,1101.0,209.0
099-0001,95.0,12,1363.0,1043.0,320.0
099-0001,11.1,12,813.0,670.0,143.0
099-0001,13.1,12,1545.0,1118.0,427.0
099-0002,12.1,12,854.0,645.0,209.0
099-0002,13.1,12,773.0,594.0,179.0
099-0002,11.1,12,1924.0,1781.0,143.0
099-0002,33.0,12,196.0,143.0,53.0
099-0003,33.0,12,489.0,371.0,118.0
099-0003,11.1,12,844.0,801.0,43.0
099-0003,25.0,12,937.0,600.0,337.0
099-0003,12.1,12,518.0,424.0,94.0
099-0004,11.1,12,1501.0,1305.0,196.0
099-0004,13.1,12,299.0,214.0,85.0
099-0004,33.0,12,1952.0,1810.0,142.0
099-0004,25.0,12,1107.0,1048.0,59.0
